idx,ts,level,eff,touch_count,bounce_count,direction,K,D,kd_sep,sticky,clean4,clean8,next_retrace
879,1782142680,1.13633,1.0,41,38,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13504,1.0,17,15,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.1361,1.0,40,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13497,1.0,16,14,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
879,1782142680,1.13635,1.0,41,36,CALL,27.593666642195036,30.128514717018778,2.534848074823742,0,0,0,1
880,1782143580,1.13635,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13633,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13804,0.806,40,23,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13811,0.816,39,23,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13493,0.981,17,14,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13632,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13639,0.753,14,7,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13866,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13864,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13841,0.904,42,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.1386,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13883,0.955,42,33,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13496,0.981,17,14,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13821,0.882,41,28,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13859,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13832,0.904,42,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.1385,0.904,42,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13855,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.1364,0.753,14,7,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13627,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13628,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13801,0.813,41,24,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13497,0.981,17,14,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13617,0.62,11,4,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13805,0.816,39,23,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13504,0.988,18,15,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13886,1.0,42,36,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13876,0.916,41,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13823,0.887,42,29,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13822,0.887,42,29,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13797,0.798,39,22,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13622,0.694,12,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13867,0.921,42,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13625,0.671,13,5,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13824,0.887,42,29,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13827,0.897,44,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13847,0.904,42,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13849,0.904,42,30,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.1383,0.897,44,31,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13813,0.834,39,24,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13502,0.988,18,15,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13499,0.981,17,14,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13817,0.882,41,28,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13799,0.798,39,22,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.135,0.988,18,15,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.1382,0.876,40,27,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
880,1782143580,1.13505,0.988,18,15,CALL,44.94667632964799,35.71051264679924,9.236163682848755,0,0,0,0
880,1782143580,1.13806,0.816,39,23,PUT,44.94667632964799,35.71051264679924,9.236163682848755,0,1,1,0
881,1782144480,1.13942,1.0,36,32,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.139,0.997,39,33,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13945,1.0,35,31,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13934,1.0,41,38,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.1393,1.0,42,39,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13918,0.985,41,34,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13935,1.0,41,38,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13937,1.0,39,36,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13886,0.991,43,36,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13891,0.994,44,37,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13894,0.988,42,35,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13898,0.997,39,33,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13932,1.0,41,38,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13913,0.985,41,34,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13904,1.0,40,34,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13907,0.997,39,33,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13908,0.997,39,33,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13902,1.0,40,34,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
881,1782144480,1.13928,1.0,43,39,PUT,57.4724053176404,43.337582763161144,14.134822554479257,0,1,1,0
882,1782145380,1.13883,0.945,44,34,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13886,0.994,44,37,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13963,1.0,34,29,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13959,0.999,33,28,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.1396,0.999,33,28,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13876,0.909,43,31,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13891,0.996,45,38,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13955,1.0,34,29,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.1395,1.0,34,29,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
882,1782145380,1.13952,1.0,34,29,PUT,79.11401597676073,60.5110325413497,18.602983435411026,0,1,1,1
