duration,t_first_brake,t_first_cross,t_back_extreme,n_cross,n_brake,max_kd_sep,mean_kd_sep,mean_slope
56,1.0,4.0,2,11,8,14.42,5.13,1.237
45,1.0,5.0,2,9,6,15.04,4.29,-1.508
21,15.0,2.0,2,3,2,11.53,4.45,3.717
12,12.0,2.0,2,1,1,13.23,6.37,-6.536
41,11.0,2.0,2,9,5,18.91,3.66,1.703
49,1.0,3.0,2,11,8,18.63,6.43,1.436
26,7.0,1.0,9,7,4,13.72,6.11,-2.655
11,1.0,1.0,11,3,3,14.65,8.29,6.043
14,14.0,2.0,2,1,1,13.02,5.69,-5.654
65,23.0,2.0,2,17,8,14.01,4.76,1.178
64,6.0,3.0,2,17,10,17.53,6.13,-1.159
58,5.0,1.0,7,13,5,17.71,4.66,1.234
42,23.0,3.0,2,9,4,16.52,5.0,-1.731
9,1.0,2.0,2,1,2,13.04,8.11,7.904
36,3.0,1.0,3,7,5,11.24,4.46,-1.891
65,1.0,4.0,2,15,5,13.11,3.68,1.183
14,5.0,1.0,2,3,2,16.42,5.41,-5.159
8,3.0,2.0,2,1,2,17.14,9.14,9.599
22,12.0,1.0,22,5,1,8.83,3.87,-3.286
16,4.0,2.0,16,3,3,15.94,7.06,4.161
16,3.0,1.0,5,5,2,20.02,5.94,-4.389
83,3.0,1.0,13,19,12,14.73,4.8,0.848
29,9.0,4.0,2,5,3,10.7,4.45,-2.185
7,1.0,1.0,7,1,1,16.26,9.25,9.695
11,6.0,1.0,11,1,3,10.52,5.57,-5.799
110,18.0,3.0,2,23,11,14.9,4.72,0.698
52,24.0,2.0,2,11,3,17.72,6.45,-1.469
19,11.0,1.0,12,3,3,15.89,5.52,3.857
46,15.0,3.0,2,9,6,16.12,5.12,-1.644
23,4.0,1.0,23,7,5,16.13,4.61,2.915
74,13.0,1.0,32,17,9,14.64,5.36,-0.962
78,2.0,3.0,2,13,13,15.62,5.14,-0.89
33,3.0,2.0,2,5,4,17.02,6.03,2.259
16,2.0,1.0,16,3,4,18.9,6.95,-4.48
33,3.0,1.0,2,7,2,18.26,3.16,2.118
27,3.0,1.0,2,7,2,15.08,5.62,-2.53
10,2.0,3.0,2,1,1,16.46,7.98,7.299
40,8.0,3.0,2,9,5,13.82,3.72,-1.681
35,2.0,2.0,2,5,5,10.36,3.69,2.133
31,15.0,2.0,2,5,4,12.66,6.4,-2.268
25,17.0,1.0,19,7,3,15.21,4.84,2.745
68,7.0,2.0,2,15,5,14.49,3.62,-1.094
8,4.0,1.0,8,1,1,10.92,8.03,8.155
22,10.0,2.0,22,5,3,12.38,4.14,-2.925
26,14.0,2.0,2,5,3,12.16,5.83,2.847
46,18.0,3.0,2,9,5,13.12,5.74,-1.583
77,1.0,8.0,20,18,8,13.59,3.54,0.824
10,5.0,2.0,2,1,3,12.4,6.85,-7.1
7,5.0,,7,0,1,13.57,8.8,9.016
39,10.0,1.0,20,9,6,18.41,5.25,-1.785
18,1.0,4.0,2,3,2,16.22,5.26,4.022
92,17.0,3.0,2,17,10,18.01,4.42,-0.81
18,17.0,3.0,2,1,1,12.09,4.72,4.155
5,,1.0,5,1,0,18.53,12.55,-13.42
13,4.0,2.0,2,3,1,16.36,5.81,5.779
17,17.0,1.0,2,5,1,17.38,4.09,-4.374
9,8.0,1.0,9,1,1,13.79,7.56,8.08
43,15.0,2.0,2,9,5,17.15,6.76,-1.763
8,2.0,,8,0,3,11.55,8.27,8.435
23,20.0,2.0,2,5,1,10.7,3.65,-3.349
74,7.0,1.0,6,21,11,11.94,3.71,0.904
20,15.0,2.0,2,3,1,9.54,3.88,-3.342
63,16.0,2.0,2,13,7,17.13,5.61,1.093
4,2.0,1.0,4,1,1,21.23,16.68,-17.471
17,1.0,1.0,2,5,2,13.19,4.95,4.238
121,3.0,2.0,2,27,16,12.47,3.27,-0.231
9,6.0,3.0,2,1,2,12.6,8.15,-7.283
15,9.0,2.0,2,3,2,12.06,6.87,5.013
53,2.0,4.0,2,11,8,13.0,4.33,1.288
8,8.0,3.0,2,1,1,19.27,8.53,-8.251
11,6.0,1.0,11,1,2,11.78,5.98,6.307
26,1.0,3.0,2,5,3,19.28,7.47,-2.942
109,1.0,2.0,2,23,16,18.91,4.24,0.649
32,14.0,2.0,2,7,4,10.83,4.07,-2.138
43,6.0,4.0,2,11,6,21.43,5.16,1.583
29,1.0,1.0,2,7,5,15.06,4.02,-2.58
38,27.0,5.0,2,5,2,15.12,5.34,1.786
12,11.0,4.0,2,1,1,15.27,5.99,-5.829
13,4.0,1.0,2,3,1,14.7,6.75,5.916
14,5.0,3.0,2,1,2,20.19,5.23,-5.296
45,19.0,2.0,2,11,4,17.19,4.38,1.591
29,2.0,2.0,2,9,4,18.58,5.85,-2.356
121,1.0,4.0,2,29,18,16.27,4.4,-0.068
35,15.0,7.0,15,6,2,15.17,5.37,1.975
39,5.0,3.0,2,7,6,18.68,6.42,-1.809
49,2.0,2.0,2,5,11,11.62,5.25,1.487
23,8.0,4.0,2,5,2,17.34,5.6,-3.151
10,5.0,1.0,10,1,1,19.07,6.84,7.113
18,1.0,1.0,3,3,3,15.18,4.75,-3.959
28,,1.0,2,5,0,13.59,3.9,2.707
26,11.0,4.0,2,3,4,14.9,5.94,-2.676
42,3.0,1.0,14,9,7,18.28,4.53,1.549
29,4.0,2.0,2,3,2,15.83,4.08,-2.595
84,17.0,2.0,2,19,7,20.11,4.37,0.89
75,20.0,3.0,2,15,9,16.93,4.1,-1.014
8,7.0,1.0,8,1,1,12.2,8.51,8.822
21,1.0,4.0,2,3,4,11.34,4.19,3.118
24,5.0,3.0,2,3,4,10.63,3.5,-2.951
8,,2.0,2,1,0,19.86,9.33,9.408
16,2.0,2.0,2,3,1,13.29,5.1,-4.509
83,9.0,1.0,19,17,11,16.27,4.91,0.753
42,17.0,6.0,2,5,3,7.13,3.05,-1.581
96,21.0,6.0,2,19,12,18.83,4.7,0.75
47,20.0,1.0,25,9,4,16.13,4.99,-1.514
7,6.0,3.0,2,1,1,23.15,10.53,10.238
71,11.0,1.0,2,11,8,10.92,5.14,-1.052
5,5.0,1.0,5,1,1,18.01,12.6,13.434
55,8.0,2.0,10,9,7,19.36,6.0,-1.268
121,5.0,3.0,2,27,18,16.31,5.06,0.504
20,12.0,4.0,2,5,2,13.6,4.97,3.093
10,2.0,2.0,10,3,3,12.26,5.92,-6.429
37,9.0,2.0,2,7,2,14.5,2.88,1.857
27,14.0,2.0,2,9,3,21.72,4.87,-2.601
18,4.0,7.0,2,1,1,12.52,4.56,3.905
40,1.0,2.0,2,7,3,10.88,3.82,-1.696
70,5.0,2.0,2,11,10,14.43,4.83,0.931
39,16.0,3.0,2,9,5,13.8,5.38,-1.771
21,3.0,2.0,2,5,4,16.76,5.94,3.135
14,13.0,3.0,2,1,1,13.64,5.98,-5.433
34,16.0,1.0,2,7,3,14.22,5.47,2.235
31,18.0,1.0,20,5,3,18.11,4.86,-2.078
44,3.0,7.0,2,5,4,14.58,3.07,1.559
41,15.0,2.0,2,11,7,18.8,5.48,-1.711
63,2.0,9.0,2,13,8,12.37,4.05,1.019
19,8.0,3.0,2,3,2,16.07,4.58,-3.886
11,2.0,1.0,11,3,2,15.2,7.59,6.567
43,8.0,2.0,9,9,5,11.16,3.74,1.63
12,2.0,5.0,2,1,1,13.23,6.69,-5.828
30,2.0,5.0,2,3,2,20.7,6.55,2.451
50,11.0,2.0,2,9,6,11.7,5.24,-1.36
121,4.0,5.0,2,21,14,18.26,4.83,0.31
31,4.0,3.0,2,7,4,15.13,3.92,2.143
12,12.0,1.0,12,1,1,9.8,5.45,-5.69
62,20.0,5.0,2,9,11,11.31,3.75,1.16
32,15.0,2.0,2,5,2,17.69,5.58,-2.168
121,17.0,4.0,2,27,17,18.16,5.11,0.421
15,7.0,3.0,2,3,2,10.34,5.38,-4.615
13,5.0,1.0,13,3,3,16.21,6.54,5.034
76,3.0,2.0,2,17,10,16.1,5.28,-0.914
9,8.0,2.0,9,3,1,21.04,8.16,7.799
21,,4.0,2,3,0,9.98,5.43,-3.396
14,,3.0,2,3,0,11.41,6.29,-5.186
46,5.0,2.0,2,9,6,9.79,3.75,1.648
49,6.0,5.0,2,9,6,16.46,3.23,-1.444
17,5.0,2.0,2,3,2,10.77,4.93,4.147
73,5.0,1.0,8,15,10,20.33,6.6,-0.977
19,14.0,3.0,2,1,2,9.38,4.2,3.748
37,6.0,1.0,15,7,3,14.54,5.24,-1.789
18,18.0,3.0,2,3,1,10.89,4.12,3.457
47,3.0,1.0,29,7,8,22.02,4.67,-1.608
25,24.0,2.0,2,5,1,17.48,5.0,3.317
3,1.0,1.0,3,1,1,24.27,19.5,-21.302
16,15.0,1.0,16,3,1,13.89,4.24,4.234
24,5.0,2.0,2,5,2,11.15,3.92,-3.041
13,,2.0,2,1,0,11.19,5.89,5.968
6,,2.0,2,1,0,21.7,11.5,-12.37
12,2.0,2.0,2,3,2,13.15,6.8,6.61
11,10.0,2.0,2,1,1,19.08,6.42,-6.487
26,18.0,3.0,2,5,2,15.06,4.76,-2.387
12,9.0,3.0,2,1,1,12.42,5.54,5.173
15,2.0,5.0,2,1,2,11.59,5.14,-4.458
74,2.0,2.0,2,15,8,15.71,5.23,0.984
29,2.0,2.0,2,7,3,20.84,3.54,-2.645
17,2.0,1.0,17,3,2,9.48,4.62,4.155
8,5.0,1.0,8,1,1,11.33,7.7,-7.932
20,2.0,5.0,2,3,2,13.5,6.1,3.242
24,17.0,4.0,2,5,2,21.72,7.24,-2.944
26,9.0,2.0,2,5,4,17.3,7.91,-2.708
35,14.0,8.0,2,9,3,16.24,4.12,2.111
58,20.0,6.0,2,9,6,15.08,4.77,-1.285
23,4.0,1.0,11,3,3,14.79,8.09,2.693
31,1.0,1.0,8,5,4,10.9,4.13,-2.102
5,4.0,1.0,5,1,1,18.53,12.48,12.901
16,11.0,2.0,2,3,2,11.89,5.24,-4.566
11,11.0,2.0,2,1,1,16.65,6.25,6.37
14,11.0,2.0,3,3,1,11.11,5.21,-4.674
8,3.0,1.0,8,1,2,13.22,8.19,8.515
15,14.0,5.0,2,1,1,19.46,5.78,-4.929
12,6.0,1.0,12,1,1,10.83,5.64,5.706
34,4.0,3.0,2,7,7,14.58,4.26,-1.941
79,22.0,2.0,2,19,6,14.52,4.07,0.967
16,15.0,3.0,2,3,1,11.95,5.06,-4.367
7,2.0,1.0,7,1,1,17.33,8.63,8.926
17,2.0,2.0,2,3,3,13.25,4.66,-3.9
25,2.0,3.0,2,5,2,8.19,3.82,2.91
15,9.0,1.0,2,3,2,12.45,4.78,-4.777
31,4.0,1.0,31,5,5,14.93,6.91,2.127
67,2.0,1.0,4,13,5,16.51,4.37,-1.045
41,20.0,1.0,2,9,4,16.74,5.29,1.827
7,3.0,1.0,7,1,1,16.45,9.45,-10.199
15,12.0,1.0,9,3,1,15.16,6.51,4.971
21,2.0,1.0,21,3,4,7.8,4.07,-3.078
7,,2.0,2,1,0,15.2,9.36,9.024
60,4.0,3.0,2,13,10,21.77,5.93,-1.201
21,2.0,1.0,3,5,3,10.6,4.74,2.887
8,6.0,2.0,2,1,1,19.52,7.7,-8.047
19,6.0,1.0,19,5,2,9.69,5.19,3.365
42,8.0,1.0,8,7,7,13.31,6.16,-1.621
38,5.0,5.0,2,7,5,14.24,5.43,1.887
16,9.0,2.0,2,1,3,9.29,4.6,-4.4
34,5.0,3.0,2,9,5,14.34,3.72,-2.075
52,17.0,3.0,2,11,4,15.5,4.77,1.381
39,19.0,4.0,2,9,4,11.64,4.25,-1.737
20,7.0,3.0,2,5,3,9.49,3.8,3.318
9,6.0,1.0,9,1,1,10.61,7.14,-7.444
13,2.0,1.0,4,3,2,16.04,7.41,5.186
14,1.0,1.0,14,3,3,13.41,5.17,-4.783
41,12.0,2.0,2,9,5,9.02,3.96,1.747
8,8.0,1.0,2,1,1,17.72,8.09,-8.606
119,3.0,1.0,21,23,16,17.99,4.65,0.588
25,1.0,2.0,2,5,6,12.97,6.23,-2.935
14,,1.0,6,3,0,20.76,6.02,4.81
